,true_positive,true_negative,false_positive,false_negative,precision,recall,f1_score,false_positive_rate,threshold
403,2642.0,1978.0,594.0,0.0,0.8164400458335876,1.0,0.8989452123641968,0.23094867169857025,0.8068068068068068
404,2642.0,1972.0,600.0,0.0,0.8149290680885315,1.0,0.898028552532196,0.23328149318695068,0.8088088088088088
405,2642.0,1969.0,603.0,0.0,0.8141756653785706,1.0,0.8975709080696106,0.2344478964805603,0.8108108108108109
406,2642.0,1964.0,608.0,0.0,0.8129230737686157,1.0,0.8968092203140259,0.23639191687107086,0.8128128128128128
407,2642.0,1959.0,613.0,0.0,0.8116743564605713,1.0,0.8960488438606262,0.23833592236042023,0.8148148148148148
408,2642.0,1955.0,617.0,0.0,0.8106781244277954,1.0,0.895441472530365,0.2398911416530609,0.8168168168168168
409,2642.0,1951.0,621.0,0.0,0.8096843361854553,1.0,0.8948348760604858,0.2414463460445404,0.8188188188188188
410,2642.0,1948.0,624.0,0.0,0.808940589427948,1.0,0.894380509853363,0.24261274933815002,0.8208208208208209
411,2642.0,1943.0,629.0,0.0,0.8077040910720825,1.0,0.8936242461204529,0.24455676972866058,0.8228228228228228
412,2642.0,1940.0,632.0,0.0,0.8069639801979065,1.0,0.8931710720062256,0.2457231730222702,0.8248248248248248
413,2642.0,1933.0,639.0,0.0,0.8052423000335693,1.0,0.8921154737472534,0.2484447956085205,0.8268268268268268
414,2642.0,1931.0,641.0,0.0,0.8047517538070679,1.0,0.8918143510818481,0.24922239780426025,0.8288288288288288
415,2642.0,1928.0,644.0,0.0,0.8040170669555664,1.0,0.8913630247116089,0.2503888010978699,0.8308308308308309
416,2642.0,1921.0,651.0,0.0,0.8023079037666321,1.0,0.8903117179870605,0.253110408782959,0.8328328328328328
417,2642.0,1917.0,655.0,0.0,0.80133455991745,1.0,0.8897120952606201,0.25466564297676086,0.8348348348348348
418,2642.0,1911.0,661.0,0.0,0.7998788952827454,1.0,0.8888141512870789,0.2569984495639801,0.8368368368368369
